Elemento,Operación,Tiempo Seq (ns),Tiempo Par (ns),Ancho,Alto,Speedup,Threads,Memoria (bytes)
Erosión,Estruct 1 -,45,12,436,348,3.75,16,31534736
Dilatación,Estruct 1 -,29,18,436,348,1.61,16,48311952
Erosión,Estruct 2 -,10,4,436,348,2.50,16,38069584
Dilatación,Estruct 2 -,13,4,436,348,3.25,16,55580712
Erosión,Estruct 3 -,19,13,436,348,1.46,16,83053464
Dilatación,Estruct 3 -,17,11,436,348,1.55,16,101718056
Erosión,Estruct 4 -,3,3,436,348,1.00,16,129190808
Dilatación,Estruct 4 -,3,3,436,348,1.00,16,147855400
Erosión,Estruct 5 -,4,3,436,348,1.33,16,175328152
Dilatación,Estruct 5 -,4,3,436,348,1.33,16,193258832
